order_id,date,region,salesperson,product,category,units,unit_price_nok,total_nok,channel,customer_segment
ORD-10001,2026-07-01,Oslo,Jonas Berg,Docking Station,Hardware,1,1890,1890,Web,SMB
ORD-10002,2026-07-01,Oslo,Emma Solheim,USB-C Hub,Accessories,1,449,449,Phone,SMB
ORD-10003,2026-07-01,Oslo,Ingrid Bakke,Security Suite License,Software,19,1548,29412,Direct,Enterprise
ORD-10004,2026-07-01,Oslo,Emma Solheim,Wireless Headset,Accessories,1,1290,1290,Phone,Consumer
ORD-10005,2026-07-01,Oslo,Emma Solheim,USB-C Hub,Accessories,2,449,898,Phone,SMB
ORD-10006,2026-07-01,Bergen,Sofie Dahl,Laptop Air 13,Hardware,1,12490,12490,Partner,SMB
ORD-10007,2026-07-01,Bergen,Sofie Dahl,Cloud Backup 1TB,Services,4,990,3960,Web,SMB
ORD-10008,2026-07-01,Bergen,Sofie Dahl,Laptop Air 13,Hardware,17,12490,212330,Web,Enterprise
ORD-10009,2026-07-01,Trondheim,Nora Lien,Laptop Air 13,Hardware,1,12490,12490,Direct,Consumer
ORD-10010,2026-07-01,Trondheim,Nora Lien,Office Suite License,Software,4,1188,4752,Partner,Public Sector
ORD-10011,2026-07-01,Trondheim,Nora Lien,Docking Station,Hardware,11,1890,20790,Phone,Public Sector
ORD-10012,2026-07-01,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,40,4990,199600,Phone,Enterprise
ORD-10013,2026-07-01,Stavanger,Lars Eide,Laptop Pro 14,Hardware,1,18990,18990,Partner,SMB
ORD-10014,2026-07-01,Stavanger,Lars Eide,Wireless Headset,Accessories,3,1290,3870,Phone,SMB
ORD-10015,2026-07-01,Tromsø,Mia Foss,"Monitor 27"" 4K",Hardware,2,4990,9980,Partner,SMB
ORD-10016,2026-07-02,Oslo,Emma Solheim,Cloud Backup 1TB,Services,19,990,18810,Phone,Enterprise
ORD-10017,2026-07-02,Oslo,Emma Solheim,Office Suite License,Software,1,1188,1188,Web,SMB
ORD-10018,2026-07-02,Oslo,Ingrid Bakke,Managed Support (month),Services,1,2490,2490,Direct,SMB
ORD-10019,2026-07-02,Oslo,Jonas Berg,USB-C Hub,Accessories,12,449,5388,Partner,Enterprise
ORD-10020,2026-07-02,Bergen,Sofie Dahl,USB-C Hub,Accessories,1,449,449,Partner,SMB
ORD-10021,2026-07-02,Bergen,Markus Vik,Security Suite License,Software,3,1548,4644,Phone,Consumer
ORD-10022,2026-07-02,Bergen,Markus Vik,Mechanical Keyboard,Accessories,1,990,990,Partner,Consumer
ORD-10023,2026-07-02,Trondheim,Nora Lien,Laptop Pro 14,Hardware,3,18990,56970,Partner,SMB
ORD-10024,2026-07-02,Trondheim,Henrik Moen,Laptop Pro 14,Hardware,1,18990,18990,Web,SMB
ORD-10025,2026-07-02,Stavanger,Oda Strand,"Monitor 27"" 4K",Hardware,6,4990,29940,Direct,Public Sector
ORD-10026,2026-07-02,Stavanger,Oda Strand,Security Suite License,Software,2,1548,3096,Partner,Consumer
ORD-10027,2026-07-03,Oslo,Jonas Berg,Office Suite License,Software,4,1188,4752,Web,Consumer
ORD-10028,2026-07-03,Oslo,Ingrid Bakke,Laptop Pro 14,Hardware,19,18990,360810,Web,Enterprise
ORD-10029,2026-07-03,Oslo,Ingrid Bakke,Onboarding Package,Services,1,7500,7500,Partner,SMB
ORD-10030,2026-07-03,Bergen,Markus Vik,Security Suite License,Software,4,1548,6192,Phone,SMB
ORD-10031,2026-07-03,Bergen,Markus Vik,Onboarding Package,Services,4,7500,30000,Phone,Consumer
ORD-10032,2026-07-03,Bergen,Sofie Dahl,USB-C Hub,Accessories,1,449,449,Direct,SMB
ORD-10033,2026-07-03,Bergen,Sofie Dahl,USB-C Hub,Accessories,1,449,449,Web,SMB
ORD-10034,2026-07-03,Trondheim,Henrik Moen,Docking Station,Hardware,4,1890,7560,Phone,SMB
ORD-10035,2026-07-03,Trondheim,Nora Lien,"Monitor 27"" 4K",Hardware,2,4990,9980,Web,SMB
